Month,Day,Flower,Plot
July,29,blanket flower,creekside
July,29,coneflower,creekside
July,29,yarrow,creekside
July,29,hyssop,creekside
July,29,guara,Gateway
July,29,butterfly bush,Gateway
July,29,hyssop,Gateway
July,29,tickseed,Gateway
July,29,hyssop,Gateway
July,29,penstemon,Gateway
July,29,blanket flower,Gateway
July,29,catmint,Gateway
July,29,penstemon,Gateway
June,18,guara,VMO
June,18,hyssop,VMO
June,18,hyssop,VMO
June,18,butterfly bush,VMO
June,18,yarrow,VMO
June,18,catmint,VMO
July,11,penstemon,Gateway
July,11,tickseed,Gateway
July,11,guara,Gateway
July,11,butterfly bush,Gateway
July,11,blanket flower,Gateway
July,11,yarrow,Gateway
July,11,hyssop,Gateway
July,11,catmint,Gateway
July,11,blue flax,Gateway
July,11,penstemon,VMO
July,11,guara,VMO
July,11,guara,VMO
July,11,aster,VMO
July,11,hyssop,VMO
July,11,hyssop,VMO
July,11,hyssop,VMO
July,11,yarrow,VMO
July,11,catmint,VMO
June,5,hyssop,VMO
June,5,guara,VMO
June,5,guara,VMO
June,5,butterfly bush,VMO
June,5,penstemon,VMO
June,5,penstemon,VMO
May,22,guara,VMO
May,22,penstemon,VMO
May,22,hyssop,VMO
May,22,penstemon,VMO
May,22,butterfly bush,VMO
May,22,penstemon,Gateway
May,22,coneflower,Gateway
May,22,guara,Gateway
May,22,penstemon,Gateway
May,22,blanket flower,Gateway
May,22,hyssop,Gateway
May,22,catmint,Gateway
May,22,yarrow,Gateway
May,22,blue flax,Gateway
May,22,yarrow,Creekside
May,22,blanket flower,creekside
June,18,yarrow,Creekside
June,18,hyssop,Creekside
June,18,blanket flower,Creekside
June,18,hyssop,Gateway
June,18,hyssop,Gateway
June,18,blue flax,Gateway
June,18,yarrow,Gateway
June,18,guara,Gateway
June,18,butterfly bush,Gateway
June,18,penstemon,Gateway
June,18,tickseed,Gateway
August,26,blanket flower,Creekside
August,26,coneflower,Creekside
August,26,yarrow,Creekside
August,26,hyssop,Creekside
August,26,aster,Creekside
August,12,blanket flower,Creekside
August,12,coneflower,Creekside
August,12,yarrow,Creekside
August,12,hyssop,Creekside
August,12,aster,Creekside
July,29,penstemon,VMO
July,29,guara,VMO
July,29,guara,VMO
July,29,aster,VMO
July,29,hyssop,VMO
July,29,yarrow,VMO
July,29,hyssop,VMO
July,29,hyssop,VMO
July,29,catmint,VMO
July,11,blanket flower,Creekside
July,11,coneflower,Creekside
July,11,yarrow,Creekside
July,11,hyssop,Creekside
August,26,penstemon,VMO
August,26,guara,VMO
August,26,guara,VMO
August,26,aster,VMO
August,26,hyssop,VMO
August,26,hyssop,VMO
August,26,hyssop,VMO
August,26,yarrow,VMO
August,26,catmint,VMO
June,5,hyssop,Creekside
June,5,yarrow,Creekside
June,5,blanket flower,Creekside
June,5,penstemon,Gateway
June,5,penstemon,Gateway
June,5,coneflower,Gateway
June,5,guara,Gateway
June,5,blanket flower,Gateway
June,5,hyssop,Gateway
June,5,catmint,Gateway
June,5,yarrow,Gateway
June,5,blue flax,Gateway
August,26,guara,Gateway
August,26,butterfly bush,Gateway
August,26,hyssop,Gateway
August,26,blue flax,Gateway
August,26,tickseed,Gateway
August,26,penstemon,Gateway
August,26,catmint,Gateway
August,26,blanket flower,Gateway
August,26,yarrow,Gateway
August,12,guara,Gateway
August,12,butterfly bush,Gateway
August,12,hyssop,Gateway
August,12,hyssop,Gateway
August,12,tickseed,Gateway
August,12,penstemon,Gateway
August,12,catmint,Gateway
August,12,yarrow,Gateway
August,12,blanket flower,Gateway
August,12,penstemon,VMO
August,12,guara,VMO
August,12,guara,VMO
August,12,aster,VMO
August,12,hyssop,VMO
August,12,hyssop,VMO
August,12,hyssop,VMO
August,12,yarrow,VMO
August,12,catmint,VMO
